                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.3743,                 3.6078,                  1.044,                0.01788,                0.81608,                 0.5539,                0.24123,                 1.9377,                 3.3106,                0.92441,             0.00027296,             0.00027296,             0.00027296
                      2,                 2.1442,                   1.71,                 1.0044,                0.91474,                0.62188,                0.90526,                0.39472,                 1.9393,                 1.7765,                0.92124,             0.00053972,             0.00053972,             0.00053972
                      3,                 2.0845,                 1.4241,                 1.0003,                0.82009,                0.92646,                0.93356,                 0.4494,                 1.8251,                 1.0585,                0.90929,             0.00079549,             0.00079549,             0.00079549
                      4,                 2.0344,                 1.3408,                0.98939,                0.88969,                0.96315,                 0.9368,                0.45965,                 1.7177,                0.89794,                0.87701,             0.00078352,             0.00078352,             0.00078352
                      5,                 2.0079,                 1.2753,                0.98452,                0.96485,                0.96585,                0.98788,                0.54096,                 1.5977,                0.84602,                0.87228,             0.00076703,             0.00076703,             0.00076703
                      6,                 1.9716,                 1.1882,                0.97425,                0.94541,                0.98246,                 0.9659,                 0.4767,                 1.7511,                0.87258,                0.89461,             0.00075053,             0.00075053,             0.00075053
                      7,                 1.9604,                 1.1578,                0.97201,                0.96368,                0.98312,                0.99206,                0.55174,                 1.5853,                0.81385,                0.86665,             0.00073404,             0.00073404,             0.00073404
                      8,                 1.9156,                 1.0905,                0.96856,                0.92808,                0.96574,                0.96595,                0.51158,                 1.7094,                0.84627,                 0.8858,             0.00071755,             0.00071755,             0.00071755
                      9,                 1.9143,                 1.0551,                0.96505,                0.98734,                0.99291,                0.99018,                0.52315,                 1.6566,                0.79266,                0.87835,             0.00070105,             0.00070105,             0.00070105
                     10,                 1.9557,                 1.0542,                0.97099,                0.97961,                0.99299,                0.99265,                0.56695,                 1.5672,                0.77056,                0.86579,             0.00068456,             0.00068456,             0.00068456
                     11,                 1.9022,                 1.0119,                0.95786,                0.98706,                 0.9691,                0.99138,                0.54305,                 1.5972,                0.79078,                0.87032,             0.00066807,             0.00066807,             0.00066807
                     12,                 1.9018,                0.98474,                0.96183,                0.98541,                0.99371,                0.99109,                0.56061,                 1.5598,                0.73398,                0.86272,             0.00065157,             0.00065157,             0.00065157
                     13,                  1.854,                 0.9695,                0.95506,                0.97678,                0.99831,                0.99304,                0.56579,                 1.5636,                0.76479,                 0.8659,             0.00063508,             0.00063508,             0.00063508
                     14,                 1.8543,                0.95537,                0.95297,                0.96879,                0.98099,                0.97506,                0.50925,                 1.7057,                0.80458,                0.88898,             0.00061859,             0.00061859,             0.00061859
                     15,                 1.8433,                0.93266,                0.95189,                0.98762,                0.99411,                0.99266,                0.53703,                 1.6216,                0.78082,                0.87175,             0.00060209,             0.00060209,             0.00060209
                     16,                 1.8728,                0.92169,                0.95569,                 0.9812,                0.98903,                0.99108,                0.54789,                 1.5854,                0.74216,                0.86654,              0.0005856,              0.0005856,              0.0005856
                     17,                 1.8446,                 0.8994,                0.95123,                0.98611,                0.99417,                0.99362,                 0.5541,                 1.6221,                0.75439,                0.87017,             0.00056911,             0.00056911,             0.00056911
                     18,                 1.8266,                0.88797,                0.94585,                0.98393,                0.99398,                 0.9918,                0.51763,                 1.7216,                0.74605,                 0.8858,             0.00055261,             0.00055261,             0.00055261
                     19,                 1.8307,                0.87687,                0.95122,                0.98747,                0.99103,                0.98546,                0.53629,                 1.6564,                0.75942,                0.88158,             0.00053612,             0.00053612,             0.00053612
                     20,                 1.8149,                0.86147,                0.94731,                0.95973,                0.97044,                0.96549,                0.51622,                 1.7093,                0.77982,                0.88222,             0.00051963,             0.00051963,             0.00051963
                     21,                  1.816,                  0.868,                0.94037,                0.98501,                0.99298,                0.99267,                0.58608,                 1.4978,                0.69487,                0.85508,             0.00050313,             0.00050313,             0.00050313
                     22,                 1.7714,                0.84672,                0.93891,                0.98914,                0.99509,                0.99371,                 0.5654,                 1.5176,                0.68695,                0.85434,             0.00048664,             0.00048664,             0.00048664
                     23,                 1.8027,                0.84357,                0.94217,                 0.9909,                0.99836,                0.99377,                0.57907,                 1.5007,                0.67647,                0.85215,             0.00047015,             0.00047015,             0.00047015
                     24,                 1.7731,                0.82637,                0.93521,                0.99217,                0.99675,                 0.9938,                0.56563,                 1.5402,                0.69084,                0.86129,             0.00045365,             0.00045365,             0.00045365
                     25,                 1.7688,                0.81804,                0.93279,                0.98619,                0.99672,                0.99203,                0.57402,                 1.5534,                0.69667,                0.86363,             0.00043716,             0.00043716,             0.00043716
                     26,                 1.7691,                0.82378,                0.93749,                0.99225,                0.99798,                0.99416,                0.54964,                 1.6248,                0.72406,                0.87109,             0.00042066,             0.00042066,             0.00042066
                     27,                 1.7513,                0.81139,                0.92949,                0.99323,                0.99687,                0.99463,                0.57333,                 1.5178,                0.67683,                0.85595,             0.00040417,             0.00040417,             0.00040417
                     28,                 1.7298,                0.80418,                0.93038,                 0.9885,                0.99636,                0.99324,                 0.5756,                 1.5546,                0.68268,                0.86613,             0.00038768,             0.00038768,             0.00038768
