                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.3754,                 3.9042,                 1.0269,                0.01887,                0.63898,                0.41847,                0.16826,                 1.8343,                 3.5782,                 0.8889,             0.00027296,             0.00027296,             0.00027296
                      2,                 2.1674,                 1.8055,                 1.0047,                0.94982,                0.66257,                0.93908,                0.46034,                 1.7326,                 1.7362,                0.88096,             0.00052337,             0.00052337,             0.00052337
                      3,                 2.0663,                  1.451,                0.99545,                0.87758,                0.92746,                 0.9358,                0.46151,                 1.7797,                0.96576,                0.89546,             0.00074629,             0.00074629,             0.00074629
                      4,                 2.0372,                 1.3537,                0.98519,                0.95979,                0.97478,                0.96698,                0.53268,                 1.6236,                0.85474,                0.87277,              0.0007093,              0.0007093,              0.0007093
                      5,                 1.9868,                 1.2611,                 0.9804,                0.94467,                0.95982,                0.96513,                0.48843,                  1.745,                0.85764,                0.88846,             0.00066807,             0.00066807,             0.00066807
                      6,                 1.9575,                 1.1872,                0.97317,                 0.9835,                0.97986,                0.99027,                0.54338,                 1.6684,                0.80675,                0.87902,             0.00062683,             0.00062683,             0.00062683
                      7,                 1.9509,                 1.1507,                0.97413,                0.97314,                0.95753,                0.98643,                0.51936,                  1.716,                0.83251,                0.88353,              0.0005856,              0.0005856,              0.0005856
                      8,                  1.948,                  1.117,                0.96793,                0.96856,                0.97877,                0.97146,                0.52015,                 1.6195,                0.79067,                0.87105,             0.00054437,             0.00054437,             0.00054437
                      9,                 1.9163,                 1.0703,                0.95913,                 0.9869,                0.99201,                0.99253,                0.56227,                 1.5595,                0.78302,                0.86362,             0.00050313,             0.00050313,             0.00050313
                     10,                  1.914,                  1.055,                0.95318,                0.98742,                0.99284,                0.99436,                0.56782,                 1.5184,                0.73738,                0.85572,              0.0004619,              0.0004619,              0.0004619
                     11,                 1.9176,                 1.1748,                0.97157,                0.98003,                0.98638,                0.98997,                0.55094,                 1.5607,                 0.7499,                0.86556,             0.00042066,             0.00042066,             0.00042066
                     12,                 1.8901,                 1.1131,                0.95659,                0.98325,                0.97951,                0.98507,                0.50829,                 1.7302,                  0.801,                0.88695,             0.00037943,             0.00037943,             0.00037943
                     13,                 1.8605,                 1.0694,                0.94873,                0.99058,                0.99446,                0.99409,                0.55268,                 1.5828,                0.75814,                 0.8655,              0.0003382,              0.0003382,              0.0003382
                     14,                 1.8345,                 1.0256,                0.95257,                0.98998,                0.99394,                0.99436,                0.56454,                 1.5695,                0.73894,                0.86455,             0.00029696,             0.00029696,             0.00029696
                     15,                 1.8378,                 1.0084,                0.95131,                 0.9946,                0.99398,                0.99329,                0.54141,                 1.6133,                0.75557,                0.86911,             0.00025573,             0.00025573,             0.00025573
                     16,                 1.8215,                0.99007,                0.94931,                0.99215,                0.99672,                0.99205,                0.57897,                 1.4931,                0.70472,                0.85508,              0.0002145,              0.0002145,              0.0002145
                     17,                 1.7812,                0.95854,                0.93503,                0.99193,                0.99699,                0.99401,                0.57565,                 1.5385,                0.71123,                0.85936,             0.00017326,             0.00017326,             0.00017326
                     18,                 1.7813,                0.94542,                0.94488,                0.98137,                0.98588,                0.98191,                0.52654,                 1.7073,                0.76594,                0.88186,             0.00013203,             0.00013203,             0.00013203
                     19,                  1.741,                0.91804,                0.92919,                0.99417,                 0.9968,                0.99393,                0.58595,                 1.4857,                 0.6715,                0.85204,             9.0797e-05,             9.0797e-05,             9.0797e-05
                     20,                 1.7325,                0.90459,                0.93412,                0.99224,                0.99625,                 0.9926,                0.58184,                 1.5262,                0.68157,                0.85749,             4.9564e-05,             4.9564e-05,             4.9564e-05
