                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.9494,                 4.8417,                  2.496,                      0,                      0,                      0,                      0,                 2.6689,                 4.7475,                 2.4036,                2.5e-05,                2.5e-05,                2.5e-05
                      2,                 2.6842,                 4.7444,                 2.2786,                      0,                      0,                      0,                      0,                 2.3687,                 4.6526,                 2.1429,             6.1263e-05,             6.1263e-05,             6.1263e-05
                      3,                 2.3628,                 4.5715,                 2.0091,                      0,                      0,                      0,                      0,                 1.8358,                 4.4687,                 1.7599,              9.604e-05,              9.604e-05,              9.604e-05
                      4,                 1.9867,                 4.4042,                 1.7844,                      0,                      0,                      0,                      0,                 1.9449,                 4.4255,                  1.697,             0.00012933,             0.00012933,             0.00012933
                      5,                 1.7701,                 4.2386,                  1.515,                      0,                      0,                      0,                      0,                 1.5434,                 4.2077,                 1.3305,             0.00016114,             0.00016114,             0.00016114
                      6,                 1.6218,                 3.9194,                 1.3553,                      0,                      0,                      0,                      0,                 1.4834,                 4.0859,                 1.2393,             0.00019146,             0.00019146,             0.00019146
                      7,                 1.5779,                  3.765,                   1.28,                      0,                      0,                      0,                      0,                 1.7403,                 4.0733,                 1.3633,              0.0002203,              0.0002203,              0.0002203
                      8,                 1.5565,                   3.52,                 1.2359,                      0,                      0,                      0,                      0,                 1.6876,                 4.0024,                  1.329,             0.00024765,             0.00024765,             0.00024765
                      9,                 1.4193,                 3.2734,                 1.1657,                      0,                      0,                      0,                      0,                  1.362,                 3.7452,                 1.1219,             0.00027352,             0.00027352,             0.00027352
                     10,                 1.4615,                 2.9751,                 1.1146,                      0,                      0,                      0,                      0,                 1.3227,                 3.6426,                 1.0985,              0.0002979,              0.0002979,              0.0002979
                     11,                 1.4607,                  2.743,                 1.1223,                0.01001,                0.69231,                0.13103,                0.08491,                 1.3782,                 3.4737,                 1.0968,              0.0003208,              0.0003208,              0.0003208
                     12,                 1.4621,                  2.338,                 1.0765,                 0.0063,                0.40385,                0.07961,                0.05114,                 1.4488,                 3.5446,                 1.1408,             0.00034221,             0.00034221,             0.00034221
